"Symbol,""Name"",""LastSale"",""MarketCap"",""ADR TSO"",""IPOyear"",""Sector"",""Industry"",""Summary Quote"",";
"ETAK,""Elephant Talk Communications Corp."",""1.51"",""211432348.73"",""n/a"",""n/a"",""Public Utilities"",""Telecommunications Equipment"",""http://www.nasdaq.com/symbol/etak"",";
"ELLO,""Ellomay Capital Ltd."",""10.08"",""107779099.68"",""n/a"",""n/a"",""Public Utilities"",""Electric Utilities: Central"",""http://www.nasdaq.com/symbol/ello"",";
"ECF,""Ellsworth Convertible Growth and Income Fund, Inc."",""8.27"",""110958573.46"",""n/a"",""1986"",""n/a"",""n/a"",""http://www.nasdaq.com/symbol/ecf"",";
"EMAN,""eMagin Corporation"",""3.06"",""73067598"",""n/a"",""n/a"",""Technology"",""Semiconductors"",""http://www.nasdaq.com/symbol/eman"",";
"EOX,""Emerald Oil, Inc."",""7.36"",""481250896"",""n/a"",""n/a"",""Energy"",""Oil & Gas Production"",""http://www.nasdaq.com/symbol/eox"",";
"MSN,""Emerson Radio Corporation"",""2.3"",""62398613.6"",""n/a"",""n/a"",""Consumer Non-Durables"",""Consumer Electronics/Appliances"",""http://www.nasdaq.com/symbol/msn"",";
"UUUU,""Energy Fuels Inc"",""6.77"",""132842348.16"",""n/a"",""n/a"",""Basic Industries"",""Mining & Quarrying of Nonmetallic Minerals (No Fuels)"",""http://www.nasdaq.com/symbol/uuuu"",";
"EGI,""Entree Gold Inc"",""0.353"",""51797237.905"",""n/a"",""n/a"",""Basic Industries"",""Precious Metals"",""http://www.nasdaq.com/symbol/egi"",";
"EVI,""EnviroStarm, Inc."",""3.09"",""21734231.88"",""n/a"",""n/a"",""Consumer Services"",""Other Consumer Services"",""http://www.nasdaq.com/symbol/evi"",";
"ERB,""ERBA Diagnostics, Inc."",""3.15"",""137523396.15"",""n/a"",""n/a"",""Health Care"",""Major Pharmaceuticals"",""http://www.nasdaq.com/symbol/erb"",";
"ESP,""Espey Mfg. & Electronics Corp."",""31.58"",""74333319.8"",""n/a"",""n/a"",""Capital Goods"",""Industrial Machinery/Components"",""http://www.nasdaq.com/symbol/esp"",";
"ETUA,""eUnits 2 Year U.S. Market Participation Trust"",""11.74"",""30857286.86"",""n/a"",""2012"",""n/a"",""n/a"",""http://www.nasdaq.com/symbol/etua"",";
